俳句,作者,季語,季節,出典,前書,評言,評者,備考
冷奴柱時計の音ばかり,柳家小三治,冷奴,夏,友あり駄句あり三十年,,,,
狐火のやうに嫁いでゆきにけり,柳家小三治,狐火,冬,友あり駄句あり三十年,,,,
小雪降るむかしよこはまふらんねる,徳永希代子,小雪,冬,,,フランネル、今日でもシーツやシャツに使われています。十六世紀イギリスで生まれた毛織物。かつては和服の女性の下半身保温用の下着（腰巻）にも使われたのです。腰の当たる部分には紐がついていて、腰に回して締められるようにできていました。しかし、紐をつけずに回した布の端を挟んで止めるのが粋とされていました。いまではほとんど見られなくなった風俗です。季語は「小雪」。これは「こゆき」であって二十四節気の「しょうせつ」ではありません。寒さを感じながら昔の風俗を懐かしんだ一句。生活のぬくもりも感じられます。フランネルがいつごろから日本に入ったかは知りません。「よこはま」は輸入品の陸揚げ地でしょうが、風俗開化の地でもあったと思われます。,村井和一,
水仙を明晰という夜明けかな,堀之内長一,水仙,冬,,,,,
繍線菊（しもつけ）や家を出るとき家は渚,堀之内長一,繍線菊,夏,,,,,
雪の夜汽車に日本人がぱらぱらと,堀之内長一,雪,冬,,,,,
鮎は流れ霧は結晶することなく,堀之内長一,鮎,夏,,,,,
巨石囲みてコスモスと女人つどえり,堀之内長一,コスモス,秋,,,,,
四方に水勢高千穂人に夏来たり,堀之内長一,夏来る,夏,,,,,
くちびるに微量の出血麦蒔けば,堀之内長一,麦蒔く,冬,,,,,
木下闇そして始祖鳥の走り,堀之内長一,木下闇,夏,,,,,
ゆりかもめ透明な壁あのあたり,堀之内長一,ゆりかもめ,冬,,,,,
嫁が君家中を緑が走る,堀之内長一,嫁が君,新年,,,,,
鬼灯市や子規に恋の句あればなあ,松田ひろむ,鬼灯市,秋,,,,,
「思わしくない」などまだ無心蝌蚪とりに,古沢太穂,蝌蚪,冬,,,,,
ぶだう苗寸土に植ゑて子とゐる日,古沢太穂,苗木植う,春,,,,,
芦の穂の片側くらき夕日かな,古沢太穂,芦,秋,,,,,
羽蟻あまた葛西善蔵措きてつぶす,古沢太穂,羽蟻,夏,,,,,
雨読とは筒っぽ袷居崩しに,古沢太穂,袷,夏,,,,,
炎日の読み書くも臍密にして,古沢太穂,炎日,夏,,,,,
寒すみれ地球がゆるぶねと瞠る,古沢太穂,冬すみれ,冬,,,,,
寒鮒にそへあたたかき飯なりき,古沢太穂,寒鮒,冬,,,,,
仰向けに寐る猫木犀林散るよ,古沢太穂,木犀,秋,,,,,
桐の花湯上りの子は栗のように,古沢太穂,桐の花,春,,,,,
孤児たちに映画くる日や燕の天,古沢太穂,燕,夏,,,,,
故旧忘れ得べきやメーデーあとの薄日焼,古沢太穂,メーデー,春,,,,,
五月来る朝日半円に土管の影,古沢太穂,五月,夏,,,,,
幸と言うか土用の梅をわずかに干し,古沢太穂,梅干し,夏,,,,,
江東区は存して秋の雨波紋,古沢太穂,秋の雨,秋,,橋本夢道逝きて,,,橋本夢道逝きて
砂丘ただ炎ゆ異国の轍のふかく荒く,古沢太穂,炎日,夏,,,,,
妻の掌のわれより熱し初螢,古沢太穂,初蛍,夏,,,,,
山吹や写真羽織の白樺派,古沢太穂,山吹,春,,,,,
歯こまかき子の音朝餉のきうり漬,古沢太穂,胡瓜,夏,,,,,
実の向日葵少年グローブに油ぬる,古沢太穂,向日葵,夏,,,,,
十軒あまりの闇市の裏冬田なす,古沢太穂,冬田,冬,,,,,
青銅の魚・鳥昨日は雪隅田,古沢太穂,雪,冬,,,,,
雪あかり胸にわきくるロシヤ文字,古沢太穂,雪,冬,,,,,
蟬しぐれ窓なき部屋を借りしと次子,古沢太穂,蟬,夏,,,,,
千鳥も老いも夜明けの素足九十九里,古沢太穂,千鳥,冬,,,,,
代々木踏切越す老優と咳落し,古沢太穂,咳,冬,,,,,
怒濤まで四五枚の田が冬の旅,古沢太穂,冬,冬,,,,,
冬雲の大きしじまに歩み入る,古沢太穂,冬の雲,冬,,,,,
冬蕪の真つ白な尻積みあげゆく,古沢太穂,蕪,冬,,,,,
踏まれず雪団結小屋に婆らは居ず,古沢太穂,雪,冬,,,,,
独活食うぶ奥歯の音の亡き母よ,古沢太穂,独活,春,,,,,
二人子よ夜寒の枕寄せねむり,古沢太穂,夜寒,冬,,,,,
日本海見し日の短か波郷の忌,古沢太穂,波郷忌,冬,,,,,
枇杷の花くりやの石に日がさして,古沢太穂,枇杷の花,冬,,,,,
父はやく死にしあと母風の盆,古沢太穂,風の盆,秋,捲かるる鷗（新日本文庫）,,おわら風の盆は越中八尾町で９月１日から３日まで行われる。それは虫送りの行事から始まったとも、二百十日の風を鎮めるためともいわれている。五木寛之、高橋治の小説や、石川さゆりの『風の盆恋歌』で全国に知られるようになった。わが師、古沢太穂は八尾から一山越した隣町の富山県上新川郡大久保町で生まれ育った。「山を越して歩いて風の盆に行ったことがあった」と聞いたことがある。その大沢野町は神通川沿い、カドミニウム汚染で公害の原点となった。太穂先生は小学生の時に父を失い、長男として母を連れて上京、横浜などを転々とすることとなった。この句は何も語らずに「父はやく死にしあと母」と「母」に焦点をしぼって、感慨深い。風の盆の哀愁のリズムを背景に、母の人生をさまざまに思わせる。手指もて尽す差し引き盆流しカドミ田のいずれへ瀬音風の盆も、掲出の句と同じく1979年に帰郷しての作品。近年は「風の盆俳句大会」なども開催されるようになったが、この句は「風の盆」の句として深くこころに沁みる。なお、八尾も大久保町の後身の大沢野町も今年、合併して富山市の一部となった。画像：「越中八尾観光協会1990年ポスター」（掲載承認済）http://www.city.toyama.toyama.jp/yatsuo/nourin/owara/,松田ひろむ,
父子掛けて冬海見おろす日の切株,古沢太穂,冬の海,冬,,,,,
片畝の残雪の道別るべし,古沢太穂,残雪,春,,,,,
歩を倦まぬ象と子らの頭終戦日,古沢太穂,終戦日,秋,,,,,
本漁ればいつも青春肩さむし,古沢太穂,寒し,冬,,,,,
夢に芹摘み溜めており寒に入る,古沢太穂,寒に入る,冬,,,,,
炉を囲み顔面土器に似るは誰ぞ,古沢太穂,囲炉裏,冬,,,,,
女体透く岩湯に楡のあおければ,三谷昭,,無季,,,,,
胸抱いて寝るさが月に吠えるさが,三谷昭,月,秋,,,,,
わが忍苦ともしき薔薇よ窓に咲け,三谷昭,薔薇,夏,,,,,
街を行く遠い戦火に手をあげて,三谷昭,,無季,,,,,
天冥く傷兵草を見ず歩く,三谷昭,,無季,,,,,
泥鰌汁巷はしとど土用雨,三谷昭,泥鰌汁,夏,,,,,
春しんと狂院の女医もの食む刻,三谷昭,春,春,,,,,
坑を出て荒男の仰ぐ星寒し,三谷昭,寒し,冬,,,,,
傷兵の義肢が跼める荒筵,三谷昭,,無季,,,,,
啼く鳩をいぶかしむ子と目覚めおり,三谷昭,,無季,,,,,
野苺や噛めばみだらに舌動く,三谷昭,野苺,夏,,,,,
人を憎み深夜も蠅を憎み打つ,三谷昭,蠅,夏,,,,,
雪割るは女の仮面剥ぐごとく,三谷昭,雪割,春,,,,,
望遠鏡女が覗く秋果手に,三谷昭,秋果,秋,,,,,
祝福もなしに無数の蠅生まる,三谷昭,蠅,夏,,,,,
原爆の灰の中にも蝶がいる,三谷昭,蝶,春,,,,,
花束に埋れ罪障なきに似る,三谷昭,,無季,,,,,
金魚も孤独気泡を一つまた一つ,三谷昭,金魚,夏,,,,,
亡命に似て岸壁の鴉追う,三谷昭,,無季,,,,,
虹の輪をくぐる黒薔薇かざしつつ,三谷昭,薔薇,夏,,,,,
山鳩は山恋う胸をふくらます,三谷昭,,無季,,,,,
死のあとも花菜明かりはおさなしや,三谷昭,菜の花,春,,,,,
ある窓は星燃ゆる夜を労働歌,三谷昭,,無季,,,,,
ビール乾す市民よハムはやせたれど,三谷昭,ビール,夏,,,,,
青蟬の動かぬむくろいとおしむ,三谷昭,蟬,夏,,,,,
秋の蝶望遠鏡の眼をふたぐ,三谷昭,秋の蝶,秋,,,,,
蟷螂の顔もて梅雨の駅に立つ,三谷昭,梅雨,夏,,,,,
わが一生（ひとよ）女はいつも野火に似て,三谷昭,野火,春,,,,,
夕焼けて窪みは暗き薊原,三谷昭,アザミ,春,,,,,
尾を持たぬさびしさに秋立ちにけり,三谷昭,秋立つ,秋,,,,,
朝焼の暗きところに耳二つ,三谷昭,,無季,,,,,
曼珠沙華消えて大地に骨ささる,三谷昭,曼珠沙華,秋,,,,,
つかのまや飽食の蛭かがやかせ,三谷昭,ヒル,夏,,,,,
腹中に立夏の豆腐あそびおり,三谷昭,立夏,夏,,,,,
抽斗に媚薬と星を閉じこめる,三谷昭,,無季,,,,,
木瓜紅しすべての骨が老い初めて,三谷昭,木瓜の花,春,,,,,
佳人逝く無明の羊歯に眼鏡澄み,三谷昭,羊歯,冬,,,,,
ごうな消え浜は汐ふく穴あまた,三谷昭,ヤドカリ,春,,,,,
でで虫が死して粘りを出しつくす,三谷昭,カタツムリ,夏,,,,,
低く翔ぶ高層都市の梅雨の蝶,三谷昭,夏の蝶,夏,,,,,
重い砂丘玫瑰の実を掌にともし,三谷昭,ハマナスの実,秋,,,,,
野の果の火事がひっそり夜を焦がす,三谷昭,火事,冬,,,,,
螺旋階登り屋上の鳩に逢う,三谷昭,,無季,,,,,
雪虫がとび亡命の空となる,三谷昭,綿虫,冬,,,,,
死が見える白い落花の吹き溜り,三谷昭,落花,春,,,,,
切株や蓬は長けて人老いて,三谷昭,ヨモギ,春,,,,,
死後もなお鉄管を水流るべく,三谷昭,,無季,,,,,
蛇捕りに気色ばみたる秋野かな,三谷昭,秋の野,秋,,,,,
わが五月レモンの汁を胃のおとし,三谷昭,レモン,秋,,,,,
夕虹がうすれ白猫ひるがえる,三谷昭,虹,夏,,,,,
春なのにいきとしいけるものに毛がない,村井和一,春,春,,,,,
真夏には死にたくないが仕方がない,村井和一,真夏,夏,もてなし,,,,
スマトラに住んで良夜の虎といる,村井和一,良夜,秋,,,,,
桜散る個々に無数に社員踊り,村井和一,桜,春,,,,,
穴という穴から僕が出て船へ,村井和一,,無季,,,,,
世にふるも皿にサラダを盛りあげる,村井和一,無季,無季,もてなし,,,,
万障が鉢合わせして濃紫陽花,村井和一,紫陽花,夏,,,,,
水中歩行では竜宮に帰れない,村井和一,,無季,,,,,
いのちじめつく紫陽花の咲くあたり,村井和一,紫陽花,夏,,,,,
走らねば角も曲がれぬ十二月,村井和一,十二月,冬,,,,,
玉葱の輪の抜けざまの夫婦かな,横須賀洋子,玉葱,夏,,,,,
仏壇で育つ菜の花月夜かな,横須賀洋子,菜の花,春,,,,,
コスモス一本残す神様の都合,横須賀洋子,コスモス,秋,,,,,
胸襟を開くと花びらがどっさり,横須賀洋子,花,春,,,,,
はつ夏の戦争ごっこだったとは,横須賀洋子,初夏,夏,,,,,
今日だけは自殺をやめて風邪をひこう,横須賀洋子,風邪,冬,,,,,
萩むらにふえふえと泣くわたしの子,横須賀洋子,萩,秋,,,,,
良妻にあらまほしけれ大くさめ,横須賀洋子,くしゃみ,冬,,,,,
いつの世か目刺に詫びることあらん,横須賀洋子,目刺,春,,,,,
そのときはねずみ花火でお知らせする,横須賀洋子,花火,夏,,,,,
百千鳥百囀りに山曇る,青木月斗,囀り,春,,,,,
城頭に大阪を観る霞かな,青木月斗,霞,春,,,,,
舟中に山を仰ぐや青嵐,青木月斗,青嵐,夏,,,,,
山深み幽禽鳴いて水涸るる,青木月斗,水涸れる,冬,,,,,
蕪村忌や蕪村を知れる人や誰,青木月斗,蕪村忌,冬,,,,,
厚氷あはれけものの息かかる,小川双々子,氷,冬,,,,,
月明の甘藍畑に詩は棄つべし,小川双々子,甘藍,夏,,,,,
山中の風化部落よ苦虎杖,小川双々子,虎杖,春,,,,,
この良夜つくゑに死後のつばさを置く,小川双々子,良夜,秋,,,,,
約束や一頭の蝶海を翔び,小川双々子,蝶,春,,,,,
人類の歩むさみしさつちふるを,小川双々子,つちふる,春,,,,,
大風のやうなかほして読んでをる,小川双々子,,無季,,,,,
半円をかき恐しくなりぬ,阿部青鞋,,無季,,,,,
籐椅子の客をしばらく独りにす,阿部青鞋,籐椅子の,夏,,,,,
静かさや鼻の下から雪がふる,阿部青鞋,雪,冬,,,,,
病院のかゆの中から時計が出る,阿部青鞋,,無季,,,,,
すぐ先を目ざしておよぐ目高かな,阿部青鞋,目高,夏,,,,,
いつとなくたがいちがひの浮寝鳥,阿部青鞋,浮寝鳥,冬,,,,,
秋晴れや蝶はつめたきところより,阿部青鞋,秋晴れ,秋,,,,,
参考に一つの星が流れけり,阿部青鞋,流星,秋,,,,,
両眼をおさへて夏に入りにけり,阿部青鞋,立夏,夏,,,,,
悲しみは我にもありとむかでくる,阿部青鞋,百足,夏,,,,,
ぷりんとぽぶりんたんぽぽのふりんぐらし,徳永希代子,蒲公英,春,,,,,
上人の口に届ける歯磨粉,徳永希代子,,無季,,,,,
死んで持つ絵蝋燭など作らんか,徳永希代子,,無季,,,,,
糸杉の腰のあたりが痒いという,徳永希代子,,無季,,,,,
分別の頂点にあるからすうり,徳永希代子,からすうり,秋,,,,,
蜆蝶きらきら捨てるあやされる,徳永希代子,蜆蝶,春,,,,,
ちはやぶる秋は豆腐屋からくれない,徳永希代子,秋,秋,,,,,
軟弱な幽霊つまづく青信号,徳永希代子,幽霊,夏,,,,,
夕涼み時計の電池が切れていた,徳永希代子,夕涼み,夏,,,,,
芍薬やぶっきらぼうの棒はずす,高橋京子,芍薬,夏,,,,,
なりゆきで泥鰌の顔になっている,高橋京子,,無季,,,,,
椿とは知らずに椿落ちている,高橋京子,椿,春,,,,,
歳時記と二十世紀を見渡しぬ,高橋京子,,無季,おおいとⅡ,,無季の作品です。歳時記というもの、現代の俳人の常識からすると、四季別に分けた言葉の集成です。現代俳句協会の『現代俳句歳時記』には無季の一巻があります。これについては、賛否の分かれるところです。歳時記の「歳事」が年中のできごとの意味だとすると、四季以外の言葉が集められていてもおかしくはないことになります。二十世紀というと、初頭の明治三十五年には正岡子規が没しています。その後の新傾向俳句、新興俳句、前衛俳句などの革新運動の中で、俳句と季語の問題は議論され続けてきました。無季の俳句にも多くの優れた作品が書かれてきました。歳時記はそういう歴史を鳥瞰する一つのよすがにもなるものです。この作品、従来の写生の方法によるものとはかなり違った方法で書かれていて、強い批評性の感じられる句です。この句で季語にかわって読者との共感を支えているのは「見渡しぬ」でしょう。仁徳天皇の国見以来、日本人は見渡すことを愛してきました。詩歌に詠まれた代表的な例をあげておきます。「見渡せば花ももみぢもなかりけり浦の苫屋の秋の夕暮藤原定家」,村井和一,
夢は枯野黒猫は記念切手に,高橋京子,枯野,冬,,,,,
五と七の間で苦労する蛙,高橋京子,蛙,春,,,,,
正体は猿楽町の蝶だった,高橋京子,蝶,春,,,,,
しのぶれど菊人形の肩凝りは,高橋京子,菊人形,秋,,,,,
そろかしこ御前様机下花吹雪,高橋京子,落花,春,,,,,
ゆうやけのこれそれあれどれどれみれど,高橋京子,夕焼,夏,,,,,
鳥居より初竈の火のぞきけり,芝不器男,初竈,新年,,,,,
牧牛にながめられたる狭霧かな,芝不器男,霧,秋,,,,,
蓬生に土けむり立つ夕立かな,芝不器男,夕立,夏,,,,,
秋の日をとづる碧玉数しれず,芝不器男,秋の日,秋,,,,,
かの窓のかの夜長星ひかりいづ,芝不器男,夜長,秋,,,,,
敬礼の上手と下手は生れつきだ,藤後左右,,無季,,,,,
山羊が来て苦労をともにすると云う,藤後左右,,無季,,,,,
軍曹に指揮は頼んであったんだ,藤後左右,,無季,,,,,
軍艦は沈むが島は沈まぬぞ,藤後左右,,無季,,,,,
チキンライスと滝の睡眠不足な味,藤後左右,滝,夏,,,,,
何か言って滝を蹴ってるお嬢さん,藤後左右,滝,夏,,,,,
志布志の家百舌と女が走っていた,藤後左右,百舌鳥,秋,,,,,
三月集会抜けて熔岩たちに会いに来た,藤後左右,三月,春,,,,,
たんぽぽの黄は血圧の低き黄なり,稲葉直,蒲公英,春,,,,,
仏の灯消えて数刻の行き戻り,稲葉直,,無季,,,,,
がさがさと雑木を移る十一月,稲葉直,十一月,冬,,,,,
あごひげに鼠を湧かせ濡れ遊ぶ,稲葉直,,無季,,,,,
石棺の夜へたたみこむ傘の骨,稲葉直,,無季,,,,,
喰い飽きし顔へ林檎が木でぶらつき,稲葉直,林檎,秋,,,,,
メーデーやビルはすこしく傾きぬ,清水昇子,,無季,,,,,
落葉掃く翁の風骨国訛り,清水昇子,落葉,冬,,,,,
空蟬を摑めり天と地を比べ,清水昇子,空蟬,夏,,,,,
移動して虫鳴く死期を早めつつ,清水昇子,虫,秋,,,,,
烏賊（いか）食（は）めば隠岐や吹雪と暮るるらん,石橋秀野,雪,冬,,,,,
風花（かぜはな）や傘に澁刷（は）く小手のさき,石橋秀野,風花,冬,,,,,
鮎打つや石見（いはみ）も果ての山幾つ,石橋秀野,鮎,夏,,,,,
ひとかゝへ濯ぐより蟬鳴きはじめ,石橋秀野,蟬,夏,,,,,
片よせて宵寢の雨戸夜の秋,石橋秀野,夜の秋,夏,,,,,
傘さげて使ひあるきや曼珠沙華,石橋秀野,曼珠沙華,秋,,,,,
ゆく秋やふくみて水のやはらかき,石橋秀野,秋,秋,,,,,
大寒の殘る夕日を市の中,石橋秀野,大寒,冬,,,,,
春寒や燭にまむかふ顔三つ,石橋秀野,春寒,春,,,,,
立雛にすがるの腰のなかりけり,石橋秀野,雛,春,,,,,
下萌やあしたゆふべを端折着,石橋秀野,下萌,春,,,,,
あたたかやむかし一文菓子うまし,石橋秀野,あたたか,春,,,,,
熱出しの廿日あまりに花了る,石橋秀野,花,春,,,,,
門柳鬼ごとあそび暮れて猶,石橋秀野,柳,春,,,,,
柳絮（りうじよ）とぶや夜に日に咳いてあはれなり,石橋秀野,柳絮,春,,,,,
病み呆（ほ）けて泣けば卯の花腐（くだ）しかな,石橋秀野,卯の花腐し,春,,,,,
卯の花腐（くだ）し寢嵩（ねかさ）うすれてゆくばかり,石橋秀野,卯の花腐し,春,,,,,
緑なす松や金欲し命欲し,石橋秀野,緑,夏,,,,,
ひるの蚊の打ち得ぬまでになりにけり,石橋秀野,蚊,夏,,,,,
短夜の看とり給ふも縁（えにし）かな,石橋秀野,短夜,夏,,,,,
とびからす病者に啼いて梅雨寒し,石橋秀野,梅雨寒,夏,,,,,
梅雨じめり痩せ骨三月（みつき）よこたへて,石橋秀野,梅雨,夏,,,,,
梅雨の雷子にタン壺をあてがはれ,石橋秀野,梅雨,夏,,,,,
梳（くしけづ）る必死の指に梅雨晴間,石橋秀野,梅雨晴間,夏,,,,,
新じやがや子をすかす喉すでに嗄れ,石橋秀野,新藷,夏,,,,,
芋煮えてひもじきままの子の寝顔,石橋秀野,芋,秋,,,,,
裸子をひとり得しのみ禮拜す,石橋秀野,裸子,夏,,,,,
汗と涙こも?黄黄こぼし合掌す,石橋秀野,汗,夏,,松江なる穴道夫人に,,,松江なる穴道夫人に
大夕燒惡寒（をかん）に鳴らす齒二十枚,石橋秀野,大夕燒,夏,,,,,
大夕燒消えなば夫（つま）の歸るべし,石橋秀野,大夕燒,夏,,,,,
遠花火とりすがれるは夕布團,石橋秀野,花火,夏,,七月六日夜,,,七月六日夜
しまひ花火窓流行歌ぶちまけて,石橋秀野,花火,夏,,七月六日夜,,,七月六日夜
火のやうな月の出花火打ち終る,石橋秀野,花火,夏,,七月六日夜,,,七月六日夜
蟬時雨子は擔送車に追ひつけず,石橋秀野,蟬,夏,,七月二十一日入院,,,七月二十一日入院
硝子戸の中の幸福足袋の裏,細見綾子,足袋,冬,,,,,
寒卵置きし所に所得る,細見綾子,寒卵,冬,,,,,
頭涼し麦生ひたすら蝶々ゆき,細見綾子,蝶,春,,,,,
蟻強し陽も強し何の影もなし,細見綾子,蟻,夏,,,,,
麦秋や農婦胸より汗を出す,細見綾子,麦秋,夏,,,,,
葉櫻や裸身光りて砂利くづす,細見綾子,葉桜,夏,,,,,
鶏の骨たゝく炎天の一方澄み,細見綾子,炎天,夏,,,,,
トロ押しに女もまじる山すゝき,細見綾子,すゝき,秋,,,,,
ポンポン船の冬浪犬と殘りたり,細見綾子,冬浪,冬,,,,,
正月の月が明るい手まり歌,細見綾子,正月,新年,,,,,
みごもりや春土は吾に乾きゆく,細見綾子,春の土,春,,,,,
冬山の麓に住みて子を持てる,細見綾子,冬の山,冬,,,,,
父が子に鶏見せてゐる母の視野,細見綾子,,無季,,,,,
冬川の水合ししぶきとなる所,細見綾子,冬の川,冬,,,,,
子を抱いて山の煙りは子に見えず,細見綾子,,無季,,,,,
春の雷閉ぢし目の奥水々し,細見綾子,春雷,春,,,,,
春雨が鼻つたひ貧しくたくましき,細見綾子,春雨,春,,,,,
松の芯糸屑つけて立ちて見る,細見綾子,松の芯,春,,,,,
蕗の葉に蟻ゐることも子の歳月,細見綾子,蕗,春,,,,,
理髪屋の鏡のみどり梅雨親子,細見綾子,梅雨,夏,,,,,
夏の夜のどぶ板が鳴る身に近し,細見綾子,夏の夜,夏,,,,,
夏瘦せて遠くの白きもの光る,細見綾子,夏瘦,夏,,,,,
飯粒を畳に拾ふすでに晩夏,細見綾子,晩夏,夏,,,,,
働きて歸る枯野の爪の艶,細見綾子,枯野,冬,,,,,
いちじくの黄落光る土管にも,細見綾子,いちじく,秋,,,,,
亡母（はは）恋ひし電柱に寄せよごれし雪,細見綾子,雪,冬,,,,,
冬の旅汽車の煙りの海辺の町,細見綾子,冬,冬,,,,,
吾在りて泛ぶ薄氷聲なき野,佐藤鬼房,薄氷,春,,,,,
靑麥のたしかな大地子の背丈,佐藤鬼房,青麦,春,夜の崖,,,,
父の方へかけくる童女花了ふ樹,佐藤鬼房,花,春,,,,,
平和は一つあげし男の子に麥穂だつ,佐藤鬼房,麥の穂,夏,,,,,
逆立つ世棕梠は花つけ赤兒睡（ねむ）る,佐藤鬼房,花,春,,,,,
孤兒たちに清潔な夜の鰯雲,佐藤鬼房,鰯雲,秋,,,,,
寒夜子へ歸る溝川も光もつ,佐藤鬼房,寒夜,冬,,,,,
朝の日ざし栗毛の仔犬凍れる樹,佐藤鬼房,凍,冬,,,,,
根雪掘る二十代經し妻の背よ,佐藤鬼房,根雪,冬,,,,,
寒夜の川逆流れ滿ち夫婦の刻,佐藤鬼房,寒夜,冬,,,,,
黙々生きて曉（あけ）の深雪に顔を捺す,佐藤鬼房,深雪,冬,,,,,
肩で押す貨車に冬曉朱の一圓,佐藤鬼房,冬暁,冬,,,,,
港灣にくそまり雪をつのらしむ,佐藤鬼房,雪,冬,,,,,
寒明けの山肌を剥ぎ岩きざむ,佐藤鬼房,寒明,春,,,,,
ねむれぬ夜端（はし）々ひかる梅の枝,佐藤鬼房,梅,春,,,,,
誰か死に工場地帶萌えきざす,佐藤鬼房,萌,春,,,,,
油じむ肘のつよさも氷雨中,佐藤鬼房,氷雨,夏,,,,,
友ら護岸の岩組む午前スターリン死す,佐藤鬼房,スターリン忌,春,,,,,
平和遠し春の蟆子をば咳きてはく,佐藤鬼房,咳,冬,,,,,
立ち尿る農婦が育て麥青し,佐藤鬼房,青麥,春,,,,,
子雀に朝燒さめて光さす,佐藤鬼房,子雀,春,,,,,
ぼろぼろの雲の夕燒基地海岸,佐藤鬼房,夕燒,夏,,,,,
ながあめの祖國の異國下痢はやる,佐藤鬼房,,無季,,,,,
夏季鬪爭ぱつちり黒い瞳の少女,佐藤鬼房,夏,夏,,,,,
夏も末の島波薄き雜誌手に,佐藤鬼房,夏,夏,,,,,
奢りながき夕燒透いて不作の田,佐藤鬼房,夕焼,夏,,,,,
滾（たぎ）る銀河よ眞實獄へ想ひ馳す,佐藤鬼房,銀河,秋,,松川事件の被告たちに捧ぐ,,,松川事件の被告たちに捧ぐ
遠（をち）の枯木櫻と知れば日々待たる,野澤節子,枯木,冬,,,,,
短夜の雲の帶より驟雨かな,野澤節子,短夜,夏,,,,,
冱て返る沼のごとくに午後睡る,野澤節子,冱,冬,,,,,
熱の夜のさくら咲き滿ち幹立てり,野澤節子,桜,春,,,,,
見えてゐる野薔薇のあたりいつ行けむ,野澤節子,野薔薇,夏,,,,,
枯野の日の出わが白息の中に見る,野澤節子,枯野,冬,,,,,
飛雪いよいよはげし吾れのみ見のこりて,野澤節子,雪,冬,,,,,
行きかよふ春雲堰きてわが居とす,野澤節子,春の雲,春,,,,,
春晝の指とどまれば琴も止む,野澤節子,春晝,春,,,,,
午（ひる）までをなぐさまんには雪淡（うす）し,野澤節子,雪,冬,,,,,
虹へだて旅信に待たんこと多し,野澤節子,虹,夏,,,,,
車掌のうしろ見えては雨の市電過ぐ,野澤節子,,無季,,,,,
日々南風棕梠の葉先と髪亂る,野澤節子,南風,夏,,,,,
銀扇の外骨きつく押しひらく,野澤節子,扇,夏,,,,,
向日葵の瞠（みは）る旱を彷徨す,野澤節子,向日葵,夏,,,,,
秋風が眼（まな）こふかくに來て吹けり,野澤節子,秋風,秋,,,,,
風邪ごゑを常臥（とこふ）すよりも憐れまる,野澤節子,風邪,冬,,,,,
降りかくす眼路寸尺に雪新し,野澤節子,雪,冬,,,,,
春の燈の消しそびれしを孤燈とす,野澤節子,春燈,春,,,,,
芝燒いて曇日紅き火に仕ふ,野澤節子,芝焼く,春,,,,,
麥の青（あを）樹の青（あを）赫（かつ）と晝寢さむ,野澤節子,青麥,春,,,,,
蟬の晝多幸ならんか便り絶ゆ,野澤節子,蟬,夏,,,,,
梅雨清浄葉をひろげゐる樹々の上に,野澤節子,梅雨,夏,,,,,
讀まず書かぬ月日俄に夏祭,野澤節子,夏祭,夏,,,,,
醫師去つて初霜の香の残りけり,野澤節子,初霜,秋,,,,,
食鹽をすくふ風邪氣の匙の尖（さき）,野澤節子,風邪,冬,,,,,
天よりも夕映敏く深雪の面（も）,野澤節子,深雪,冬,,,,,
春曙何すべくして目覺めけむ,野澤節子,春曙,春,,,,,
丘麥そよぐ夕景たのし戰なくば,野澤節子,麥,夏,,,,,
虚實なく臥す冬衾さびしむも,野澤節子,冬衾,冬,,,,,
天地（あめつち）の息合ひて激し雪降らす,野澤節子,雪,冬,,,,,
外燈立ちその先深雪道昏し,野澤節子,深雪,冬,,,,,
春曉のすべての中に風秀づ,野澤節子,春曉,春,,,,,
病む麥も刈りいづこへか運び去る,野澤節子,麥,夏,,,,,
外燈下乙女ひらり過ぎ涼し,野澤節子,涼し,夏,,,,,
脣（くち）かたく石工若しや夏ズボン,野澤節子,夏衣,夏,,,,,
枯れし萱枯れし萱へと猫沒す,野澤節子,枯,冬,,,,,
壺に眞白降雪前に剪りし梅,野澤節子,梅,春,,,,,
虹をゆく男ばかりにたのしまず,野澤節子,虹,夏,,,,,
夏未明音のそくばく遠からぬ,野澤節子,夏の暁,夏,,,,,
懷手すぐぬくもるや疲れたり,野澤節子,懷手,冬,,,,,
寒の百合硝子を聲の出でゆかぬ,野澤節子,寒,冬,,,,,
春曉の雨淡泊にこぼれ止む,野澤節子,春曉,春,,,,,
竹の葉騒（はざゐ）は冴ゆる眼鏡に數知れず,野澤節子,冴える,冬,,,,,
黄麥を通る手籠にパン滿たし,野澤節子,麥,夏,,,,,
白地着む頭上げし蛇身ひかりたる,野澤節子,白地,夏,,,,,
これよりの炎ゆる百日セロリ噛む,野澤節子,炎ゆ,夏,,,,,
青梅が籠に身をつめ夜の豪雨,野澤節子,青梅,夏,,,,,
蟬高音飲食に手はよごれそむ,野澤節子,蟬,夏,,,,,
吾子すがる手力つよし露無量,能村登四郎,霧,秋,,,,,
湯おもてにうすき秋日と吾子の垢,能村登四郎,秋日,秋,,,,,
聲なき雁轉校書類封じをり,能村登四郎,雁,秋,,,,,
教師やめしその後知らず芙蓉の實,能村登四郎,芙蓉,夏,,,,,
夜間教師慂められをり夜も野分,能村登四郎,野分,秋,,,,,
よき教師たりや星透く鰯雲,能村登四郎,鰯雲,秋,,,,,
子等に試驗なき菊月のわれ愉し,能村登四郎,菊月,秋,,,,,
